"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN199_c4_g1",696.761710207192,2.55560616481408,0.569863772433418,4.48459138558886,7.30537922422193e-06,0.00444086086284762
"TRINITY_DN70191_c0_g1",124.57298019702,-5.655197944756,1.26133398571461,-4.48350556538127,7.34266867373608e-06,0.00444086086284762
"TRINITY_DN7510_c0_g1",52.0511528636001,-8.10003677246278,1.80672610379255,-4.48326769368071,7.35086198065432e-06,0.00444086086284762
"TRINITY_DN2049_c0_g2",3917.41855277246,2.24086330956779,0.500305739223127,4.4789878146259,7.49978142896632e-06,0.00447874878324075
"TRINITY_DN98805_c0_g1",49.1395478592582,-6.26218893871739,1.39915843619628,-4.47568250793786,7.6167601523016e-06,0.00449691788310034
"TRINITY_DN139_c0_g2",3822.44607567849,4.21299292817704,0.947469098767975,4.4465755491713,8.72499910123165e-06,0.00508378846142081
"TRINITY_DN34493_c0_g1",386.95884951433,4.353281399398,0.979459044726397,4.4445772621499,8.80648564195693e-06,0.00508378846142081
"TRINITY_DN97339_c0_g1",118.171802493902,3.86344535678305,0.870057913086812,4.44044620326046,8.97725451865012e-06,0.00512542042325788
"TRINITY_DN47219_c0_g1",44.087945089445,9.12881982045388,2.06239797356933,4.42631341644257,9.58572207017539e-06,0.00535512032425766
"TRINITY_DN8943_c0_g1",35.178590490705,-6.40381287062623,1.44643391980938,-4.42731104610029,9.54150930487643e-06,0.00535512032425766
"TRINITY_DN15266_c0_g1",30.3765602334865,-8.41614632753978,1.90804674558885,-4.41087009372113,1.02956074000153e-05,0.00569051364327441
"TRINITY_DN11105_c0_g1",31.0005919200818,-6.42829885337833,1.46059823964867,-4.40114103856827,1.07683098324571e-05,0.00588913197205589
"TRINITY_DN69499_c0_g1",42.7047057211018,-9.9699727289585,2.26651928302303,-4.3988034002785,1.0884937526812e-05,0.00589090551255747
"TRINITY_DN1912_c0_g1",55.4533428854703,-7.37556009356137,1.68209494134911,-4.3847466110598,1.16120865280321e-05,0.00621964902643202
"TRINITY_DN7060_c0_g1",202.828627719337,-6.4118774122817,1.46384268456492,-4.38016836091059,1.18587648527495e-05,0.00628696048902654
